,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Date_c,Home_abb,Date_fmt,Date_shifted,Season
8440,Mon Jan 14 2008,10:00p,Los Angeles Lakers,123,Seattle SuperSonics,121,Box Score,OT,13452,,Jan 14 2008,SEA,2008-01-14,01-15-2008,2007-08
15213,Fri Nov 16 2007,8:00p,Houston Rockets,84,San Antonio Spurs,90,Box Score,,18797,,Nov 16 2007,SAS,2007-11-16,11-17-2007,2007-08
16531,Wed Dec 12 2007,7:30p,Sacramento Kings,78,Boston Celtics,90,Box Score,,18624,,Dec 12 2007,BOS,2007-12-12,12-13-2007,2007-08
16605,Sat Dec 22 2007,7:30p,Utah Jazz,102,Miami Heat,104,Box Score,,19600,,Dec 22 2007,MIA,2007-12-22,12-23-2007,2007-08
3059,Wed May 28 2008,8:30p,Detroit Pistons,102,Boston Celtics,106,Box Score,,18624,,May 28 2008,BOS,2008-05-28,05-29-2008,2007-08
3053,Thu May 22 2008,8:30p,Detroit Pistons,103,Boston Celtics,97,Box Score,,18624,,May 22 2008,BOS,2008-05-22,05-23-2008,2007-08
3051,Tue May 20 2008,8:30p,Detroit Pistons,79,Boston Celtics,88,Box Score,,18624,,May 20 2008,BOS,2008-05-20,05-21-2008,2007-08
15187,Tue Nov 13 2007,8:30p,Los Angeles Lakers,92,San Antonio Spurs,107,Box Score,,18797,,Nov 13 2007,SAS,2007-11-13,11-14-2007,2007-08
5438,Tue Mar 4 2008,8:30p,New Jersey Nets,70,San Antonio Spurs,81,Box Score,,17486,,Mar 4 2008,SAS,2008-03-04,03-05-2008,2007-08
15252,Wed Nov 21 2007,8:30p,Orlando Magic,110,San Antonio Spurs,128,Box Score,,18797,,Nov 21 2007,SAS,2007-11-21,11-22-2007,2007-08
6794,Thu Feb 7 2008,7:00p,Miami Heat,84,Philadelphia 76ers,101,Box Score,,14103,,Feb 7 2008,PHI,2008-02-07,02-08-2008,2007-08
3049,Sun May 18 2008,3:30p,Cleveland Cavaliers,92,Boston Celtics,97,Box Score,,18624,,May 18 2008,BOS,2008-05-18,05-19-2008,2007-08
15176,Sun Nov 11 2007,8:00p,Milwaukee Bucks,88,San Antonio Spurs,113,Box Score,,17670,,Nov 11 2007,SAS,2007-11-11,11-12-2007,2007-08
3044,Wed May 14 2008,8:00p,Cleveland Cavaliers,89,Boston Celtics,96,Box Score,,18624,,May 14 2008,BOS,2008-05-14,05-15-2008,2007-08
3034,Thu May 8 2008,7:00p,Cleveland Cavaliers,73,Boston Celtics,89,Box Score,,18624,,May 8 2008,BOS,2008-05-08,05-09-2008,2007-08
5454,Thu Mar 6 2008,8:00p,Indiana Pacers,97,San Antonio Spurs,108,Box Score,,17738,,Mar 6 2008,SAS,2008-03-06,03-07-2008,2007-08
5541,Mon Mar 17 2008,8:30p,Boston Celtics,93,San Antonio Spurs,91,Box Score,,18797,,Mar 17 2008,SAS,2008-03-17,03-18-2008,2007-08
15302,Wed Nov 28 2007,8:30p,Washington Wizards,94,San Antonio Spurs,109,Box Score,,18386,,Nov 28 2007,SAS,2007-11-28,11-29-2007,2007-08
16555,Sat Dec 15 2007,7:30p,Philadelphia 76ers,92,Cleveland Cavaliers,86,Box Score,,20562,,Dec 15 2007,CLE,2007-12-15,12-16-2007,2007-08
16542,Fri Dec 14 2007,7:30p,Milwaukee Bucks,82,Boston Celtics,104,Box Score,,18624,,Dec 14 2007,BOS,2007-12-14,12-15-2007,2007-08
5489,Mon Mar 10 2008,8:30p,Denver Nuggets,103,San Antonio Spurs,107,Box Score,,18797,,Mar 10 2008,SAS,2008-03-10,03-11-2008,2007-08
15145,Wed Nov 7 2007,8:00p,Miami Heat,78,San Antonio Spurs,88,Box Score,,17503,,Nov 7 2007,SAS,2007-11-07,11-08-2007,2007-08
15262,Fri Nov 23 2007,8:30p,Memphis Grizzlies,88,San Antonio Spurs,101,Box Score,,18797,,Nov 23 2007,SAS,2007-11-23,11-24-2007,2007-08
15241,Tue Nov 20 2007,9:00p,Chicago Bulls,91,Denver Nuggets,112,Box Score,,17106,,Nov 20 2007,DEN,2007-11-20,11-21-2007,2007-08
15263,Fri Nov 23 2007,9:00p,Minnesota Timberwolves,93,Denver Nuggets,99,Box Score,,17097,,Nov 23 2007,DEN,2007-11-23,11-24-2007,2007-08
8410,Fri Jan 11 2008,7:00p,Chicago Bulls,100,Philadelphia 76ers,97,Box Score,,17046,,Jan 11 2008,PHI,2008-01-11,01-12-2008,2007-08
16520,Tue Dec 11 2007,7:00p,Indiana Pacers,105,Cleveland Cavaliers,118,Box Score,,20010,,Dec 11 2007,CLE,2007-12-11,12-12-2007,2007-08
8499,Wed Jan 23 2008,7:00p,Detroit Pistons,86,Philadelphia 76ers,78,Box Score,,13878,,Jan 23 2008,PHI,2008-01-23,01-24-2008,2007-08
